antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_double'}),0.14068074438337672,0.1381737537363803,0.018368527625108474,0.13056888279643591,0.9449615376705072,1.0,-0.0010698589047708866,0.9912530495062052,-0.0634769549441958,0.0705163797890061,-0.00882413476372379,0.13175338766479155
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_double'}),0.17457332947642465,0.1381737537363803,0.022466493105775722,0.12869373101353218,0.93139056827728,1.0,-0.0016549591302397575,0.9891197583900371,-0.0819310963822149,0.07739578143165586,-0.010999923434622718,0.14564484178031809
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_double'}),0.15524057467939448,0.1381737537363803,0.019863079741587117,0.1279503105590062,0.9260102378279506,1.0,-0.0015870931940576913,0.9882765359575696,-0.08641184123271954,0.07261191399365527,-0.011862534033625749,0.13585233601920998
"frozenset({'Hitter_Types_Hitters With Good Contact', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_double'}),0.09926718734933951,0.1381737537363803,0.012534953234982162,0.12627489072365225,0.913884781364269,1.0,-0.0011811666639286005,0.9863814569520806,-0.09470691351113006,0.05573419078242229,-0.013806568393936295,0.10849683126552466
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'})",frozenset({'events_home_run'}),0.4340468614405554,0.10649889113875229,0.050091601581332565,0.11540597578584917,1.0836354684246643,1.0,0.0038660921356577574,1.010069121431167,0.13637250231023323,0.10213309741472526,0.009968744927970842,0.29287727490062043
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'})",frozenset({'events_home_run'}),0.11888921029794619,0.10649889113875229,0.013643814482692123,0.11476074614760748,1.077576911088128,1.0,0.0009822454175989238,1.0093329062995129,0.08170595045579104,0.06443533697632059,0.00924660856815812,0.12143650707108758
frozenset({'impact_archetype_Four-Seam Aces (Elite FF Impact)'}),frozenset({'events_home_run'}),0.11141644971555298,0.10649889113875229,0.012679587310770417,0.1138035482475119,1.0685890437980499,1.0,0.0008138589614474726,1.0082427063370818,0.07223468148492598,0.0617805966643176,0.008175319578583716,0.11643097285621408
frozenset({'Ball Preference_Selective / Moderate'}),frozenset({'events_home_run'}),0.7565326390897695,0.10649889113875229,0.08475556841191785,0.11203160846291105,1.0519509383149395,1.0,0.004185681238583511,1.0062307593118056,0.20284166300589127,0.10890169113547668,0.006192177345151947,0.4539334140096357
frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)'}),frozenset({'events_home_run'}),0.5747276058239321,0.10649889113875229,0.06253013209912256,0.10879959734921568,1.0216031001436994,1.0,0.0013222793720438775,1.002581581206225,0.049724071761533116,0.10106756019636873,0.0025749338055054104,0.34797155059855533
frozenset({'impact_archetype_FF Liability Pitchers (Bad Fastball Impact)'}),frozenset({'events_home_run'}),0.15524057467939448,0.10649889113875229,0.016873975508629832,0.10869565217391303,1.0206270789458145,1.0,0.00034102644553165445,1.0024646587223756,0.02392420956511797,0.0689112029927151,0.0024585991146227858,0.13356919322140648
"frozenset({'Ball Preference_Selective / Moderate', 'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.21617973194484622,0.10649889113875229,0.023478931636293512,0.10860838537020517,1.0198076638066074,1.0,0.00045602989749468636,1.0023665179219,0.02477983986654633,0.07847244601998066,0.0023609307369986407,0.1645350663836087
"frozenset({'Ball Preference_Selective / Moderate', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.37715745829717484,0.10649889113875229,0.03948510269019381,0.10469129489965487,0.9830270886413044,1.0,-0.0006817484031655177,0.9979810357826301,-0.026973497259970378,0.08889612504070336,-0.002023048680265398,0.2377236465444404
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.28550766560601676,0.10649889113875229,0.02926429466782374,0.10249915569064506,0.9624434075759891,1.0,-0.0011419551308307282,0.9955434744452133,-0.05178683686931336,0.08067517278043596,-0.004476475080377705,0.18864206313278292
frozenset({'Hitter_Types_Balanced Hitters'}),frozenset({'events_home_run'}),0.49556455500916013,0.10649889113875229,0.04989875614694822,0.1006907286701041,0.9454626953713442,1.0,-0.0028783194491965453,0.9935415294228435,-0.10261746671609946,0.09036933554527198,-0.006500453565245809,0.2846142642897827
frozenset({'Ball Preference_Aggressive Fastball'}),frozenset({'events_home_run'}),0.24346736091023044,0.10649889113875229,0.021743322726834442,0.08930693069306932,0.8385714605865295,1.0,-0.004185681238583504,0.9811221134484237,-0.202841663005891,0.06624559341950646,-0.01924111819804436,0.1467358555683545
"frozenset({'impact_archetype_Balanced Positive Arsenal (Mild Impact Gains)', 'Ball Preference_Aggressive Fastball'})",frozenset({'events_home_run'}),0.14068074438337672,0.10649889113875229,0.012438530517789991,0.0884167237834133,0.8302126232302212,1.0,-0.0025438127636138834,0.9801639983673386,-0.19224003858761732,0.05298829328404189,-0.020237431354040974,0.10260582680795835
"frozenset({'Ball Preference_Aggressive Fastball', 'Hitter_Types_Balanced Hitters'})",frozenset({'events_home_run'}),0.11840709671198535,0.10649889113875229,0.01041365345675441,0.08794788273615634,0.825810314039545,1.0,-0.002196571046031031,0.9796601443585823,-0.19306824700785002,0.048550236008091704,-0.020762154874367087,0.09286484222819587
frozenset({'Hitter_Types_Hitters With Good Contact'}),frozenset({'events_home_run'}),0.17457332947642465,0.10649889113875229,0.0114260919872722,0.06545153272576636,0.6145747812575129,1.0,-0.0071657740243670845,0.9560778709180194,-0.4317466065933845,0.042374396567137484,-0.04593990763514564,0.08636994925106788
frozenset({'Ball Preference_Selective / Moderate'}),frozenset({'events_hit_by_pitch'}),0.7565326390897695,0.028878603799055057,0.02179153408543053,0.028804486362477698,0.9974334826886685,1.0,-5.6072259896438464e-05,0.9999236843297393,-0.010458121561140087,0.02853715512342951,-7.632149478665506e-05,0.39169773566871796
