pitcher,season,ground,fly,line,bip,GB_percent,FB_percent,LD_percent
browm102,1910,18,11,1,65,0.27692307692307694,0.16923076923076924,0.015384615384615385
browm102,1911,130,68,13,918,0.14161220043572983,0.07407407407407407,0.014161220043572984
burkb101,1911,3,2,0,15,0.2,0.13333333333333333,0.0
burks101,1911,21,35,7,202,0.10396039603960396,0.17326732673267325,0.034653465346534656
burnb101,1911,64,37,6,497,0.12877263581488935,0.0744466800804829,0.012072434607645875
bushj101,1911,7,3,4,36,0.19444444444444445,0.08333333333333333,0.1111111111111111
caldr101,1911,82,145,28,817,0.1003671970624235,0.17747858017135862,0.03427172582619339
camnh101,1909,1,0,0,16,0.0625,0.0,0.0
camnh101,1911,80,96,15,870,0.09195402298850575,0.1103448275862069,0.017241379310344827
camnh102,1911,0,0,0,4,0.0,0.0,0.0
cartk101,1903,9,4,0,114,0.07894736842105263,0.03508771929824561,0.0
cashc101,1911,28,25,4,242,0.11570247933884298,0.10330578512396695,0.01652892561983471
cavep101,1911,3,5,0,19,0.15789473684210525,0.2631578947368421,0.0
chalg101,1911,77,59,23,684,0.11257309941520467,0.08625730994152046,0.033625730994152045
chenl101,1911,2,2,0,25,0.08,0.08,0.0
cicoe101,1911,87,76,16,770,0.11298701298701298,0.0987012987012987,0.02077922077922078
coaka101,1905,7,8,2,32,0.21875,0.25,0.0625
coaka101,1911,5,1,3,46,0.10869565217391304,0.021739130434782608,0.06521739130434782
colek101,1910,4,1,0,26,0.15384615384615385,0.038461538461538464,0.0
colek101,1911,73,59,13,709,0.10296191819464035,0.08321579689703808,0.018335684062059238
colla101,1911,0,0,0,11,0.0,0.0,0.0
collr103,1911,59,80,9,681,0.08663729809104258,0.11747430249632893,0.013215859030837005
compj101,1911,9,22,1,84,0.10714285714285714,0.2619047619047619,0.011904761904761904
coomj101,1910,9,11,4,85,0.10588235294117647,0.12941176470588237,0.047058823529411764
coomj101,1911,97,157,26,1194,0.0812395309882747,0.13149078726968175,0.021775544388609715
cotte101,1911,0,2,0,7,0.0,0.2857142857142857,0.0
covit101,1911,33,42,7,299,0.11036789297658862,0.14046822742474915,0.023411371237458192
crand101,1911,84,79,14,683,0.12298682284040996,0.11566617862371889,0.020497803806734993
crisd101,1911,9,2,0,68,0.1323529411764706,0.029411764705882353,0.0
currg101,1911,14,13,0,57,0.24561403508771928,0.22807017543859648,0.0
curtc101,1911,44,33,10,471,0.09341825902335456,0.07006369426751592,0.021231422505307854
daleg101,1911,3,6,0,40,0.075,0.15,0.0
danfd101,1911,10,10,0,104,0.09615384615384616,0.09615384615384616,0.0
demob101,1911,1,0,0,17,0.058823529411764705,0.0,0.0
dente101,1911,12,13,3,121,0.09917355371900827,0.10743801652892562,0.024793388429752067
dinnb101,1903,13,16,3,98,0.1326530612244898,0.16326530612244897,0.030612244897959183
donne102,1911,7,12,2,126,0.05555555555555555,0.09523809523809523,0.015873015873015872
donob101,1907,7,6,3,62,0.11290322580645161,0.0967741935483871,0.04838709677419355
donob101,1908,5,6,1,52,0.09615384615384616,0.11538461538461539,0.019230769230769232
donob101,1909,7,6,1,35,0.2,0.17142857142857143,0.02857142857142857
donob101,1911,51,103,16,567,0.08994708994708994,0.18165784832451498,0.02821869488536155
drucl101,1911,33,24,9,261,0.12643678160919541,0.09195402298850575,0.034482758620689655
ewinb102,1911,6,12,2,84,0.07142857142857142,0.14285714285714285,0.023809523809523808
falkc101,1911,44,26,8,387,0.11369509043927649,0.06718346253229975,0.020671834625323
fausc101,1911,2,0,0,9,0.2222222222222222,0.0,0.0
fergg101,1911,13,18,2,103,0.1262135922330097,0.17475728155339806,0.019417475728155338
ferrj101,1911,41,16,6,295,0.13898305084745763,0.05423728813559322,0.020338983050847456
fishr101,1911,92,56,25,586,0.15699658703071673,0.09556313993174062,0.042662116040955635
flahp101,1911,9,2,1,64,0.140625,0.03125,0.015625
fordr101,1911,123,160,27,928,0.13254310344827586,0.1724137931034483,0.029094827586206896
fostr105,1903,7,2,0,122,0.05737704918032787,0.01639344262295082,0.0
foxeb101,1911,7,4,2,43,0.16279069767441862,0.09302325581395349,0.046511627906976744
frocs101,1911,2,2,2,62,0.03225806451612903,0.03225806451612903,0.03225806451612903
froma101,1911,69,103,16,673,0.1025260029717682,0.15304606240713226,0.0237741456166419
gardh101,1911,16,17,6,135,0.11851851851851852,0.1259259259259259,0.044444444444444446
gasph101,1911,94,90,14,906,0.10375275938189846,0.09933774834437085,0.01545253863134658
georl101,1911,39,49,14,447,0.087248322147651,0.10961968680089486,0.03131991051454139
geyer101,1911,46,54,11,522,0.08812260536398467,0.10344827586206896,0.0210727969348659
goldr101,1911,45,36,10,471,0.09554140127388536,0.07643312101910828,0.021231422505307854
grayd101,1911,58,46,11,463,0.12526997840172785,0.09935205183585313,0.023758099352051837
gregh101,1911,2,6,0,29,0.06896551724137931,0.20689655172413793,0.0
gregv101,1911,74,81,20,731,0.1012311901504788,0.11080711354309165,0.027359781121751026
grifh101,1911,25,22,4,306,0.08169934640522876,0.0718954248366013,0.013071895424836602
groob101,1911,82,88,16,893,0.09182530795072788,0.09854423292273236,0.01791713325867861
hagec101,1911,10,6,1,56,0.17857142857142858,0.10714285714285714,0.017857142857142856
