"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Walden, Marcus","519393","19.3","17.7","25.8","37.2","","","","","",""
"Eovaldi, Nathan","543135","43.3","","22.5","3.2","","17.5","13.5","","",""
"Hoffman, Jeff","656546","58.8","","","1.0","0.1","28.8","11.3","","",""
"Jackson, Luke","592426","37.9","","","53.6","0.1","8.4","","","",""
"Stammen, Craig","489334","0.3","71.0","15.8","","0.7","12.2","","","",""
"Stratton, Chris","608717","56.5","0.2","0.3","24.1","5.9","13.0","","","",""
"Workman, Brandon","519443","33.7","","19.3","","","47.0","","","",""
"Estévez, Carlos","608032","67.5","1.8","","27.2","3.5","","","","",""
"Lamet, Dinelson","659275","35.9","18.8","","12.2","1.5","31.7","","","",""
"Castro, Miguel","612434","","48.9","","31.1","20.0","","","","",""
"Hernández, Félix","433587","7.5","32.2","","9.0","16.2","35.2","","","",""
"Hudson, Daniel","543339","63.3","7.5","","23.3","5.9","","","","",""
"Brebbia, John","605154","56.6","","","42.8","0.6","","","","",""
"Suero, Wander","593833","0.2","","72.1","","20.6","7.1","","","",""
"Buttrey, Ty","621142","57.0","0.1","","29.5","13.4","","","","",""
"Andriese, Matt","542882","49.7","0.7","","1.1","36.9","11.6","","","",""
"Law, Derek","571882","36.7","","","30.5","12.9","19.9","","","",""
"Shaw, Bryan","543766","","0.1","75.3","1.0","7.4","8.1","","","8.2",""
"May, Trevor","543507","61.6","1.3","","15.3","10.0","11.8","","","",""
"Ottavino, Adam","493603","2.0","39.6","13.7","","","","","","44.8",""
"Farmer, Buck","571656","48.8","","","25.2","26.0","","","","",""
"Rodríguez, Richard","593144","81.9","3.3","","14.3","0.4","","","","",""
"Agrazal, Dario","642607","12.5","55.2","","18.9","13.4","","","","",""
"González, Chi Chi","592346","42.2","11.7","28.3","6.5","11.4","","","","",""
"Devenski, Chris","606965","44.1","","","19.4","36.5","","","","",""
"Biagini, Joe","607352","16.0","34.8","29.6","","10.9","8.7","","","",""
"Robles, Hansel","570663","48.9","7.4","","21.5","22.3","","","","",""
"Ross, Joe","605452","23.6","39.2","","20.7","7.6","9.0","","","",""
"Petit, Yusmeiro","433589","45.3","","21.2","","19.3","14.2","","","",""
"Tomlin, Josh","458708","25.2","5.7","43.2","","8.5","17.3","","","",""
"Gallegos, Giovanny","606149","55.2","","","44.2","0.6","","","","",""
"James, Josh","657624","63.3","","","20.5","14.6","1.6","","","",""
"Armstrong, Shawn","542888","59.4","","28.4","","","","","","","12.2"
"Neris, Héctor","593576","25.8","8.9","","","","","65.3","","",""
"Castillo, Diego","650895","3.8","44.8","","51.5","","","","","",""
"Iglesias, Raisel","628452","37.3","10.6","","30.7","21.4","","","","",""
"Cishek, Steve","518553","17.0","42.1","","40.0","0.8","","","","",""
"Ramirez, Noé","598287","28.4","","","","34.2","37.4","","","",""
"Hughes, Jared","453172","5.9","74.5","","5.7","8.2","5.7","","","",""
"Anderson, Nick","623433","59.9","","","","","40.1","","","",""
"Soria, Joakim","465657","64.6","3.5","","11.7","7.1","13.0","","","",""
"Kennedy, Ian","453178","66.9","","16.1","","1.7","15.2","","","",""
"Givens, Mychal","571710","70.2","","","15.3","14.5","","","","",""
"Báez, Pedro","520980","50.6","0.3","","17.2","31.9","","","","",""
"Gant, John","607231","24.0","31.9","11.2","","22.6","10.4","","","",""
"Guerra, Javy","457915","59.1","","","25.0","8.7","7.2","","","",""
"Pagán, Emilio","641941","61.5","","36.5","","","2.0","","","",""
"Gsellman, Robert","607229","2.6","49.2","","26.6","10.0","11.7","","","",""
"Díaz, Edwin","621242","65.9","0.3","","33.9","","","","","",""
"Melancon, Mark","453343","6.7","","59.6","","","31.0","2.6","","",""
"Jiménez, Joe","641729","68.3","","","25.9","5.8","","","","",""
"Weaver, Luke","596133","52.0","0.1","12.1","1.9","24.8","9.1","","","",""
"Jansen, Kenley","445276","","13.4","74.3","12.3","","","","","",""
"Mengden, Daniel","596043","32.3","20.3","14.5","12.1","11.1","9.7","","","",""
"García, Luis","472610","22.1","25.0","","34.3","","","18.7","","",""
"Familia, Jeurys","544727","16.6","49.4","","26.5","","","7.5","","",""
"Perdomo, Luis","606131","0.3","54.3","","34.4","","","11.0","","",""
"Moronta, Reyes","606625","58.4","","","34.6","6.9","","","","",""
"Bettis, Chad","518452","35.8","2.5","17.4","","32.2","12.0","","","",""
"Kingham, Nick","592468","39.2","10.4","13.0","1.3","16.7","19.3","","","",""
"Kahnle, Tommy","592454","44.2","","","3.9","51.9","","","","",""
"Yates, Kirby","489446","57.0","","","0.9","","","42.1","","",""
"Parker, Blake","453284","46.6","","6.1","","","15.5","31.9","","",""
"Covey, Dylan","592229","17.7","32.8","21.3","","0.1","9.9","18.2","","",""
"Brewer, Colten","605155","0.9","0.9","40.6","12.9","0.2","44.6","","","",""
"Feliz, Michael","593140","73.4","","","20.2","6.4","","","","",""
"Bedrosian, Cam","592135","47.8","","","50.9","","","1.3","","",""
"Albers, Matt","458006","10.1","46.4","","33.1","10.3","","","","",""
"Stephenson, Robert","596112","36.1","","","57.1","","","6.8","","",""
"Treinen, Blake","595014","21.5","45.7","19.0","13.7","","","","","",""
"García, Yimi","554340","44.1","1.8","","17.7","5.6","30.8","","","",""
"Brach, Brad","542960","47.7","6.2","7.9","19.4","18.8","","","","",""
"Romo, Sergio","489265","10.1","14.3","","59.6","16.1","","","","",""
"Velázquez, Hector","584171","23.2","27.5","","16.9","29.9","2.6","","","",""
"Duffey, Tyler","608648","51.4","2.6","","","0.5","45.5","","","",""
"Brasier, Ryan","518489","55.1","4.1","","31.9","8.9","","","","",""
"Colomé, Alex","517008","28.8","","68.3","","2.9","","","","",""
"Eickhoff, Jerad","595191","36.7","2.4","","29.5","","31.5","","","",""
"Rondón, Héctor","444468","45.6","14.5","","35.5","4.4","","","","",""
"Swanson, Erik","657024","67.3","","","18.4","14.3","","","","",""
"Wittgren, Nick","621295","66.4","","","18.8","14.7","0.1","","","",""
"Straily, Dan","573185","52.2","0.2","","20.0","24.1","3.5","","","",""
"Buchholz, Clay","453329","14.4","20.1","28.2","","19.7","17.4","","","",""
"Trivino, Lou","642152","33.9","17.3","33.5","","4.8","10.5","","","",""
"Greene, Shane","572888","1.9","45.1","31.1","0.5","0.5","","","","20.9",""
"Osuna, Roberto","532077","46.1","2.6","12.9","19.6","18.5","0.2","","","",""
"VerHagen, Drew","572403","12.5","40.0","","30.4","0.6","16.4","","","",""
"Harvey, Matt","518774","47.0","0.3","","28.0","10.3","14.3","","","",""
"Swarzak, Anthony","461872","35.9","4.7","","59.4","","","","","",""
"Drake, Oliver","543118","40.5","","0.1","","","","59.4","","",""
"Wisler, Matt","605538","8.7","20.5","","70.5","","0.3","","","",""
"Hirano, Yoshihisa","673633","48.0","","","0.3","","","51.7","","",""
"Crick, Kyle","605195","50.4","11.9","","37.4","0.3","","","","",""
"Clippard, Tyler","461325","19.3","21.6","","8.7","30.5","3.9","16.0","","",""
"Roe, Chaz","475054","5.2","23.7","6.4","","","0.6","","","64.1",""
"Gott, Trevor","641627","66.9","10.1","","1.4","3.8","17.7","","","",""
"Harris, Will","501789","1.1","","56.9","","","42.0","","","",""
"Cole, Taylor","518566","37.2","","4.4","21.7","31.8","4.8","","","",""
"Herrera, Kelvin","516969","35.4","21.3","11.1","12.7","19.5","","","","",""
"Wingenter, Trey","622259","55.0","","","45.0","","","","","",""
"Gearrin, Cory","518715","8.4","36.3","","40.3","15.0","","","","",""
"Glasnow, Tyler","607192","67.2","","","","3.5","29.3","","","",""
"McCarthy, Kevin","641838","3.1","57.2","","11.1","22.3","6.3","","","",""
"Guerrero, Tayron","594027","70.1","9.4","","20.4","","","","","",""
"Rainey, Tanner","663432","70.7","","","29.0","0.3","","","","",""
"Oberg, Scott","623184","52.0","0.2","","43.4","4.5","","","","",""
"Anderson, Justin","605121","40.8","6.1","","52.1","0.9","","","","",""
"Díaz, Jairo","545064","25.1","30.9","","44.0","","","","","",""
"Burnes, Corbin","669203","52.5","3.7","0.9","31.0","4.1","7.8","","","",""
"Magill, Matt","543483","51.0","","0.1","18.8","0.1","30.1","","","",""
"Kelly, Joe","523260","28.0","22.8","","","12.6","36.5","","","",""
"Holmes, Clay","605280","10.3","52.8","","11.9","1.1","23.9","","","",""
"Kinley, Tyler","641755","42.3","","","57.7","","","","","",""
"López, Yoan","661255","57.1","","","39.4","3.5","","","","",""
"Martin, Chris","455119","45.8","17.7","14.5","9.5","","","12.2","","0.3",""
"Miller, Shelby","571946","67.4","2.3","3.6","","2.3","24.4","","","",""
