antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,ante_len,cons_len
"frozenset({'pitcher_arch_Weak Breaking Ball Group (Bad SL)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_home_run'}),0.01690928934868492,0.04138164266059982,0.00076860406130386,0.045454545454545456,1.098422936647305,1.0,6.886989183189397e-05,1.0042668505460381,0.09114505965318279,0.013361838588989844,0.004248721884744398,0.03201404835877347,2,1
"frozenset({'pitcher_arch_Sinkers Get Hit (Bad SI)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.015049267520329578,0.04856040459317787,0.0007993482237560143,0.05311542390194075,1.0938010987948565,1.0,6.85497041378394e-05,1.004810532797496,0.08706729718762683,0.012726382770435635,0.004787502360373411,0.03478816462586749,2,1
"frozenset({'pitcher_arch_Weak Breaking Ball Group (Bad SL)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_single'}),0.01690928934868492,0.14526616758642952,0.0026747421333374326,0.15818181818181817,1.0889102453102453,1.0,0.00021839447304394148,1.0153425655020816,0.08305506684057314,0.016769468003084043,0.01511072816541946,0.08829725829725829,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinkers Get Hit (Bad SI)'})",frozenset({'outcome_double'}),0.04619310408436198,0.04856040459317787,0.0024287888337201973,0.052579034941763726,1.0827552896696917,1.0,0.0001856330099688024,1.004241652334914,0.08013181709872637,0.026307026307026308,0.004223736712226642,0.05129743136768465,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Weak Breaking Ball Group (Bad SL)'})",frozenset({'outcome_single'}),0.05841390865909336,0.14526616758642952,0.009177132491968087,0.15710526315789472,1.0814993316624895,1.0,0.0006915678473178449,1.0140457580929028,0.08003275319014212,0.04718248636686952,0.013851207384682946,0.11013993316624895,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Poor Changeup Group (Bad CH)'})",frozenset({'outcome_single'}),0.018692450770909873,0.14526616758642952,0.002889951270502513,0.15460526315789472,1.064289543302701,1.0,0.0001745705842144357,1.0110470235553517,0.061556710758350924,0.017942355411338044,0.01092632023830595,0.0872497215260373,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Fastball Generalists (Good FF + Good SI)'})",frozenset({'outcome_double'}),0.015571918282016203,0.04856040459317787,0.0007993482237560143,0.05133267522211254,1.0570891171966088,1.0,4.316957168940428e-05,1.0029222790292516,0.05486024359775139,0.012621359223300972,0.002913764197241849,0.03389679028595339,2,1
"frozenset({'batter_arch_Selective / Moderate', 'pitcher_arch_Poor Changeup Group (Bad CH)'})",frozenset({'outcome_single'}),0.006948180714186894,0.14526616758642952,0.0010606736045993268,0.15265486725663718,1.0508631830313249,1.0,5.1338020551455884e-05,1.008719823109488,0.04873999123717974,0.007017187023288926,0.008644445077532134,0.07997822727911225,2,1
"frozenset({'batter_arch_Aggressive Fastball', 'pitcher_arch_Sinkers Get Hit (Bad SI)'})",frozenset({'outcome_single'}),0.04619310408436198,0.14526616758642952,0.007009669039091203,0.15174708818635607,1.0446141087605314,1.0,0.0002993738398348938,1.007640316360447,0.04477709108058973,0.03800316693057755,0.007582384543766022,0.10000052822016217,2,1
"frozenset({'pitcher_arch_Slider Aces (Elite SL)', 'batter_arch_Selective / Moderate'})",frozenset({'outcome_double'}),0.01672482437397199,0.04856040459317787,0.0008454644674342459,0.050551470588235295,1.041001841144815,1.0,3.330022908432323e-05,1.0020970762852104,0.04005684927126344,0.013120229007633589,0.002092687759338073,0.03398102177718191,2,1
